accuracy,loss,val_accuracy,val_loss
0.44087839126586914,1.609512448310852,0.8468468189239502,0.5810433030128479
0.7522522807121277,0.7450897693634033,0.9054054021835327,0.3763750195503235
0.8290165066719055,0.5151504874229431,0.9174174070358276,0.2862577736377716
0.8644894957542419,0.41787606477737427,0.9429429173469543,0.2009475976228714
0.8845720887184143,0.3674311935901642,0.9279279112815857,0.20391224324703217
0.9016516804695129,0.31877008080482483,0.9594594836235046,0.15614964067935944
0.9115990996360779,0.2724283039569855,0.9429429173469543,0.18869058787822723
0.9243618845939636,0.2513921558856964,0.9579579830169678,0.1295626163482666
0.919857382774353,0.2511294484138489,0.9699699878692627,0.1432168185710907
0.9296171069145203,0.21854041516780853,0.977477490901947,0.08984294533729553
0.942379891872406,0.18571420013904572,0.9654654860496521,0.1415802538394928
0.9448198080062866,0.17681178450584412,0.9639639854431152,0.1364288479089737
0.9502627849578857,0.16989125311374664,0.9744744896888733,0.11527673900127411
0.9564564824104309,0.14897792041301727,0.9789789915084839,0.0874311625957489
0.9528903961181641,0.15321792662143707,0.9759759902954102,0.07584643363952637
0.9609609842300415,0.1352933645248413,0.9744744896888733,0.09846339374780655
0.9635885953903198,0.12639516592025757,0.9789789915084839,0.07820971310138702
0.9596471190452576,0.1413031965494156,0.9834834933280945,0.07721070945262909
0.9581456184387207,0.13788874447345734,0.9819819927215576,0.0728256031870842
0.9634009003639221,0.1249576136469841,0.977477490901947,0.1000424325466156
0.9656531810760498,0.11928125470876694,0.9744744896888733,0.09751280397176743
0.9699699878692627,0.1040836051106453,0.9759759902954102,0.07550810277462006
0.9682807922363281,0.11643670499324799,0.9834834933280945,0.07248212397098541
0.9686561822891235,0.11221349239349365,0.9789789915084839,0.09875710308551788
0.966966986656189,0.11395705491304398,0.977477490901947,0.08875804394483566
0.9727852940559387,0.09840203076601028,0.9759759902954102,0.09289353340864182
0.9756006002426147,0.08780384808778763,0.9849849939346313,0.06511174142360687
0.9742867946624756,0.09958892315626144,0.9804804921150208,0.07241859287023544
0.9735360145568848,0.09973035752773285,0.9804804921150208,0.07683131843805313
0.977477490901947,0.08186189830303192,0.9894894957542419,0.08766680955886841
0.9767267107963562,0.08481325209140778,0.9804804921150208,0.08906131982803345
0.9724099040031433,0.10325565189123154,0.9789789915084839,0.08113573491573334
0.9786036014556885,0.08640211820602417,0.9699699878692627,0.11888817697763443
0.9729729890823364,0.0921325534582138,0.977477490901947,0.09044619649648666
0.9797297120094299,0.08205780386924744,0.977477490901947,0.08764912188053131
0.9767267107963562,0.08622558414936066,0.9849849939346313,0.06575485318899155
0.9772897958755493,0.08836439996957779,0.977477490901947,0.0941915363073349
